Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,Count,1346,0,1,0.963697913635583,0.5367002449929714,26.218299753963947,0.0,22.668591014151065,0.0,1,1,1,1,1,2,2,3,7,26,26
gRPC,Index (batch=10),655,0,13,14.333978928056837,8.196699898689985,42.39640012383461,0.0,11.031149416247361,0.0,13,15,17,18,20,24,28,33,42,42,42
gRPC,Index (batch=100),189,0,15,16.88471906596706,9.493099991232157,71.68569974601269,0.0,3.183033953695803,0.0,15,17,19,20,23,30,40,57,72,72,72
gRPC,Index (batch=50),436,0,13,15.295769024956458,8.281100075691938,68.35300009697676,0.0,7.342871977837937,0.0,13,15,17,19,22,26,30,35,68,68,68
gRPC,"Index (single, IMMEDIATE)",246,0,34,51.161691482080435,22.089299745857716,457.83500000834465,0.0,4.14299657465168,0.0,34,38,42,46,120,140,250,260,460,460,460
gRPC,Lookup,682,0,1,1.014244138424304,0.5613001994788647,8.479500189423561,0.0,11.485868552489618,0.0,1,1,1,1,1,2,2,3,8,8,8
gRPC,Query (BM25 text),3522,0,1,1.7344853483787794,0.941199716180563,136.4557002671063,0.0,59.315585105378936,0.0,1,2,2,2,2,3,5,7,12,140,140
gRPC,Query (match-all+sort),661,0,2,1.8400942622127403,1.1383998207747936,36.716700065881014,0.0,11.132198113190084,0.0,2,2,2,2,2,3,4,5,37,37,37
gRPC,Query (paginated),683,0,1,1.3508680712917103,0.8371002040803432,12.10220018401742,0.0,11.502710001980072,0.0,1,1,1,1,2,2,3,3,12,12,12
gRPC,Query (range filter),1364,0,1,1.5667479453182334,0.8374000899493694,20.79369965940714,0.0,22.971737104979237,0.0,1,1,2,2,2,3,4,6,17,21,21
gRPC,Query (term filter),2075,0,1,1.329058022294418,0.6546997465193272,11.275900062173605,0.0,34.94600769269202,0.0,1,1,1,1,2,2,3,5,7,11,11
gRPC,Query (text+filter),2090,0,2,1.7991352579043955,1.093599945306778,16.966199968010187,0.0,35.19862943504883,0.0,2,2,2,2,2,3,5,6,10,17,17
,Aggregated,13949,0,1,3.6365607767350183,0.5367002449929714,457.83500000834465,0.0,234.92137894234264,0.0,1,2,2,2,10,16,26,34,140,350,460
